SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
20MICRONS,EQ,30.95,31.5,28.45,30.95,31.45,30.85,34764,1055717.75,14-NOV-2020,279,INE144J01027,
21STCENMGM,EQ,9.55,9.85,9.55,9.85,9.6,9.7,428,4189.95,14-NOV-2020,7,INE253B01015,
3IINFOTECH,EQ,3.1,3.25,3.05,3.2,3.25,3.1,3577270,11350593.05,14-NOV-2020,1334,INE748C01020,
3MINDIA,EQ,20400,20675.1,20300,20495.9,20450.65,20681.4,967,19802722.35,14-NOV-2020,521,INE470A01017,
5PAISA,EQ,329.95,329.95,316.3,321.65,324.5,320.7,2703,871285.35,14-NOV-2020,201,INE618L01018,
63MOONS,EQ,73.6,74.35,72.7,73.85,74.35,73.35,20249,1493762.05,14-NOV-2020,320,INE111B01023,
716GS2050,GS,110.5,110.5,110.5,110.5,110.5,110.5,10,1105,14-NOV-2020,1,IN0020200054,
8KMILES,BE,98,98,94,95.5,95,94.85,19796,1899031.75,14-NOV-2020,402,INE650K01021,
A2ZINFRA,EQ,3.75,3.8,3.65,3.75,3.8,3.7,62416,234525.35,14-NOV-2020,126,INE619I01012,
AAATECH,SM,43.2,45,43.2,44.4,45,42.75,21000,927300,14-NOV-2020,7,INE0D0U01013,
AAKASH,EQ,55,55,53,53,53,53.2,4806,259267.75,14-NOV-2020,11,INE087Z01016,
AARON,EQ,32.1,32.9,31,31.9,31.3,32.1,193,6216.8,14-NOV-2020,9,INE721Z01010,
AARTIDRUGS,EQ,707.75,723.95,703,716.3,716,692.35,529545,379123423,14-NOV-2020,20467,INE767A01016,
AARTIIND,EQ,1110,1113.35,1096.85,1101.3,1100.1,1100.45,31169,34395881.4,14-NOV-2020,2910,INE769A01020,
AARTISURF,BE,825.4,825.4,825.4,825.4,825.4,786.1,5076,4189730.4,14-NOV-2020,110,INE09EO01013,
AARVEEDEN,EQ,10.3,10.65,9.8,10.25,10.35,10,1831,18793.9,14-NOV-2020,19,INE273D01019,
AARVI,EQ,39.85,39.85,35.1,39.55,39.5,36.25,2450,97062.05,14-NOV-2020,16,INE754X01016,
AAVAS,EQ,1488.9,1489.2,1474,1485.7,1488,1470.1,1973,2932014.2,14-NOV-2020,249,INE216P01012,
ABAN,EQ,22,23,22,22.85,23,22.65,26848,608100.95,14-NOV-2020,215,INE421A01028,
ABB,EQ,1006,1010,972.05,986.15,984.9,1000.25,36544,36296817.55,14-NOV-2020,1986,INE117A01022,
ABBOTINDIA,EQ,15400,15625,15400,15595.55,15607.55,15367,2958,45997423.6,14-NOV-2020,1328,INE358A01014,
ABCAPITAL,EQ,77.45,81.65,77.05,80.85,80.65,76.9,5930624,476417606.45,14-NOV-2020,28646,INE674K01013,
ABFRL,EQ,159.25,159.45,157,157.85,157.45,158.1,224405,35490234.4,14-NOV-2020,2952,INE647O01011,
ABFRLPP,E1,100.35,104,99.1,101.7,101.35,101.4,5401,551568.85,14-NOV-2020,65,IN9647O01019,
ABMINTLTD,BE,23.95,26.45,23.95,24.45,26.45,25.2,675,16168.75,14-NOV-2020,12,INE251C01017,
ABSLBANETF,EQ,286.18,286.37,282.54,283.79,282.54,284.26,243,68963.72,14-NOV-2020,5,INF209KB1O58,
ABSLNN50ET,EQ,291,294,282.12,287.14,293.98,282.87,63,18132.4,14-NOV-2020,10,INF209KB1B87,
ACC,EQ,1677.9,1682.95,1658,1668.05,1667,1676.35,91090,152356738.25,14-NOV-2020,3150,INE012A01025,
ACCELYA,EQ,852.05,869,840.6,849.2,850,851.55,2120,1805574.9,14-NOV-2020,287,INE793A01012,
ACE,EQ,81,89.9,79.1,87.3,87.05,77.45,1317785,112317838.2,14-NOV-2020,9519,INE731H01025,
ADANIENT,EQ,369.8,372.85,369.5,371.25,369.85,368.6,620753,230563200,14-NOV-2020,6326,INE423A01024,
ADANIGAS,EQ,245.7,247,243.6,244.7,244.1,243.1,349600,85691147.75,14-NOV-2020,5708,INE399L01023,
ADANIGREEN,EQ,1018,1023.6,990.05,1008.6,1006,989.35,578986,584504392.85,14-NOV-2020,22865,INE364U01010,
ADANIPORTS,EQ,369,369,363,366.1,364.5,365.5,444529,163154221.55,14-NOV-2020,8224,INE742F01042,
ADANIPOWER,EQ,36.3,36.65,36.3,36.4,36.45,36.15,536355,19547905.9,14-NOV-2020,2778,INE814H01011,
ADANITRANS,EQ,334.9,344.4,332.8,340.35,338,331.8,348405,118311394.45,14-NOV-2020,5906,INE931S01010,
ADFFOODS,EQ,465.65,479.75,464.95,469.3,467,461.6,37901,17886110.9,14-NOV-2020,2101,INE982B01019,
ADHUNIKIND,EQ,17.1,17.1,16.3,16.85,16.9,16.15,9460,158834.95,14-NOV-2020,59,INE452L01012,
ADL,BE,16.95,17,16.15,16.7,16.15,16.9,338,5667.8,14-NOV-2020,7,INE0CHO01012,
ADORWELD,EQ,245.5,246,241.6,245.25,245.3,243.5,2036,499035.35,14-NOV-2020,72,INE045A01017,
ADROITINFO,BE,5.85,5.85,5.85,5.85,5.85,6,3,17.55,14-NOV-2020,1,INE737B01033,
ADSL,EQ,22.75,22.95,22,22.35,22,22.6,11907,267023.3,14-NOV-2020,120,INE102I01027,
ADVANIHOTR,EQ,43.15,45.95,43.15,44.55,43.8,44.25,1171,52627.6,14-NOV-2020,51,INE199C01026,
ADVENZYMES,EQ,330.95,334.1,329,330.4,329.7,330.95,70666,23410884.45,14-NOV-2020,2449,INE837H01020,
AEGISCHEM,EQ,219,221.5,216.05,218.85,218,218.05,48507,10638133.75,14-NOV-2020,747,INE208C01025,
AFFLE,EQ,2994,3000,2938,2959,2950,2960.9,15793,46956332.75,14-NOV-2020,2822,INE00WC01019,
AGARIND,EQ,84.95,84.95,81.05,83.7,84.4,80.75,8162,682447.4,14-NOV-2020,72,INE204E01012,
AGCNET,BE,616,635,615,621.4,621,616.05,8164,5116179.95,14-NOV-2020,128,INE676A01019,
AGRITECH,EQ,26.35,27.35,26.35,26.9,27.05,27,1668,45062,14-NOV-2020,41,INE449G01018,
AGROPHOS,EQ,8.6,8.6,8.05,8.3,8.4,8.15,9589,80711.35,14-NOV-2020,96,INE740V01019,
AHLEAST,EQ,139,139,136.45,136.85,136.85,134.4,37,5064.05,14-NOV-2020,7,INE926K01017,
AHLUCONT,EQ,232,234.95,228.8,230.4,231,230.05,5764,1330319.7,14-NOV-2020,240,INE758C01029,
AHLWEST,EQ,262,262,241.1,245.35,242.05,244.8,782,191516.05,14-NOV-2020,41,INE915K01010,
AIAENG,EQ,1734,1797.7,1730,1768,1741,1729.95,23275,41131528,14-NOV-2020,1870,INE212H01026,
AIRAN,EQ,14.5,15,13.1,14.4,14.5,14.2,411194,5749594.95,14-NOV-2020,380,INE645W01026,
AIROLAM,SM,26.35,29.95,26.35,29.95,29.95,26.5,6000,168900,14-NOV-2020,2,INE801L01010,
AJANTPHARM,EQ,1547,1554.5,1543.2,1548.9,1548.85,1548.5,11845,18357946.15,14-NOV-2020,1092,INE031B01049,
AJMERA,EQ,92.15,94.15,92.15,93.8,93.95,92.15,62768,5871778.4,14-NOV-2020,703,INE298G01027,
AKASH,EQ,219.95,219.95,219.95,219.95,219.95,231.5,45,9897.75,14-NOV-2020,4,INE737W01013,
AKSHARCHEM,EQ,204.75,204.75,200.1,202.15,202,201.05,5873,1190517.25,14-NOV-2020,171,INE542B01011,
AKSHOPTFBR,EQ,6.75,6.75,6.65,6.75,6.75,6.45,111318,749876.05,14-NOV-2020,207,INE523B01011,
AKZOINDIA,EQ,1989.95,2010,1970,2000.75,1999,1978.6,2837,5669586.05,14-NOV-2020,437,INE133A01011,
ALANKIT,EQ,15.75,15.85,15.45,15.6,15.7,15.5,19495,305184,14-NOV-2020,115,INE914E01040,
ALBERTDAVD,EQ,420,423.9,411,415.5,415,418.1,5690,2369291.3,14-NOV-2020,253,INE155C01010,
